6400000	18180,13067,27155,2452,3991,18712,1570,9893,2600,20551,6352,28125,4528,15412,15672,3404,1739,3536,6880,24929,18658,11748,19751,10866,18038
1792000	9745,17438,5157,19514,23623,18508,13390,16463,27739,20154,29203,20585,21121,24598,27272,20630,16540,28319,1712,16500,12996,14969,24292,28937,8978,12586,15663,23351,6080,5962,28504,23914,23928,29269,3991,27544,11176,29104,20408,5054,10176,13259,6906,19198
5226500	27371,29234,17747,4058,7868
5279750	28675,22,23584,3752,23475,569,5185,9829,27257,25211,9340,24726,17055,15018,13997,13853,4795,14525,2240,23748,1222,15074,20736,27435,27396,21975,29465,18730,11571,2368,14780,13430,3991,28065,949,2999,20408,20411,16319,23508,21838,4571,27117,9712,17438,24054,29269
981000	19466,10269,17458,13749,24332,25676,11347,10329,26722,11196,2674,647,27160,21657,21146,14493,8816,18759,2257,2262,19690,16110,25839,23793,28410,22280,26378,16140,12674,13079,20764,18730,20279,24385,14153,7490,5009,24471,11687,11176,9643,16305,14261,4938,27119,26608,8689,2042
9123500	7868,15,10646,18456,15138,1831,6447,2610,5567,21459,14694,3307,20846
3903500	15019,11652,21899,25618,16540,21146,9633,15138,14261,28605,13888,24274,8148,4949,27609,9563,17647,1392,13430
1140750	17421,1563,27927,5667,7728,9549,5184,5643,22605,6741,23662,647,9894,2729,22194,7868,15567,3285,25309,1773,23282,28410,20750,3032,23831,15138,22329,5957,18517,21390,3937,17470,885,2945,414,17823,23475,27063,14155,16335,20449
5034000	19973,7692,27151,11793,22547,24598,5655,17945,12316,3626,5689,19021,21110,3723,17055,3755,5297,22706,13430,16077,15584,9486,17680,15639,13087,15138,8497,17212,17214,18290,23936,14728,9620,7070,14261,13240,10176,18371,10232
10840750	9472,7105,2669,6672,15637,1563,25758,21796,8689,29099,28985,12220,21565,24385,11605,9549,27994,15584,20457,13672,20728,15353,1237
6015000	19458,28527,12420,14597,7560,1666,28059,9885,1827,25510,4650,16939,20529,11186,16564,23861,8637,21565,23103,11201,16197,17034,967,13773,13240,27092,9301,10970,10203,9053,24788,25830,4326,19688,21865,7530,22508,6765,5693,23025,7282,25875,20603,29290,6399
3524750	10368,17920,5081,1966,15069,27625,4808,6868,24541,23273
